Queens Rolling Sales File.  All Sales From February 2016 - January 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/26/2016,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15837,73, ,A5,305 BEACH 45 STREET, ,11691, 1 , -   , 1 ," 2,612 "," 1,476 ",2006,1,A5," $370,000 ",9/22/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15849,22, ,A6,40-01 ROCKAWAY BEACH BLVD, ,11691, 1 , -   , 1 ," 2,626 ", 618 ,1920,1,A6," $107,315 ",5/13/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15905,92, ,A5,145 COMPASS PLACE, ,11692, 1 , -   , 1 ," 3,667 "," 2,515 ",2014,1,A5," $733,140 ",10/14/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15905,307, ,A5,66-14 BEACH FRONT ROAD, ,11692, 1 , -   , 1 ," 3,542 "," 3,084 ",2014,1,A5," $1,120,075 ",3/2/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15907,87, ,A2,3-12 BEACH 63 STREET, ,11692, 1 , -   , 1 ," 3,780 ", 888 ,1940,1,A2," $300,000 ",12/12/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15913,87, ,A1,317 BEACH 66 STREET, ,11692, 1 , -   , 1 ," 2,500 "," 1,220 ",1925,1,A1," $332,000 ",7/26/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15916,41, ,A1,346 BEACH 69TH STREET, ,11692, 1 , -   , 1 ," 4,000 "," 1,971 ",1920,1,A1," $420,000 ",2/2/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15954,13, ,A1,424 BEACH 38 STREET, ,11691, 1 , -   , 1 ," 3,000 "," 1,600 ",2003,1,A1, $-   ,6/7/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15954,18, ,A1,434 BEACH 38TH STREET, ,11691, 1 , -   , 1 ," 3,000 "," 1,600 ",2003,1,A1," $260,000 ",12/9/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15962,48, ,A6,593 BEACH 43RD STREET, ,11691, 1 , -   , 1 ," 1,824 ", 528 ,1920,1,A6," $229,164 ",4/13/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15967,14, ,A1,428 BEACH 45 STREET, ,11691, 1 , -   , 1 ," 3,650 "," 1,416 ",1920,1,A1," $201,820 ",11/17/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15967,20, ,A1,425 BEACH 44 STREET, ,11691, 1 , -   , 1 ," 3,411 "," 1,960 ",1920,1,A1," $55,000 ",12/14/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,29, ,A6,456 BEACH 46 STREET, ,11691, 1 , -   , 1 ," 1,750 ", 792 ,1920,1,A6," $347,000 ",10/28/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,29, ,A6,456 BEACH 46 STREET, ,11691, 1 , -   , 1 ," 1,750 ", 792 ,1920,1,A6," $56,000 ",4/13/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15969,13, ,A6,426 BEACH 47 STREET, ,11691, 1 , -   , 1 ," 2,252 ", 480 ,1940,1,A6," $305,000 ",8/31/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16025,9, ,A2,65-29 BAYFIELD AVENUE, ,11692, 1 , -   , 1 ," 4,000 "," 1,471 ",1925,1,A2, $-   ,10/25/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16026,14, ,A9,626 BEACH 66 STREET, ,11692, 1 , -   , 1 ," 2,250 "," 1,530 ",1960,1,A9," $180,000 ",10/5/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16026,14, ,A9,626 BEACH 66, ,11692, 1 , -   , 1 ," 2,250 "," 1,530 ",1960,1,A9, $-   ,3/18/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16029,1, ,A2,602 BEACH 69 STREET, ,11692, 1 , -   , 1 ," 3,800 "," 1,119 ",1920,1,A2," $395,000 ",7/8/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16031,25, ,A9,558 BEACH 65TH STREET, ,11692, 1 , -   , 1 ," 2,500 "," 1,526 ",1960,1,A9," $91,000 ",5/18/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16032,19, ,A0,540 BEACH 66 STREET, ,11692, 1 , -   , 1 ," 4,000 "," 2,081 ",1950,1,A0, $-   ,5/13/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16032,36, ,A5,5-67 BEACH 65 STREET, ,11692, 1 , -   , 1 ," 3,950 "," 2,008 ",1955,1,A5," $338,000 ",2/8/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16033,46, ,A2,553 BEACH 66 STREET, ,11692, 1 , -   , 1 ," 2,500 "," 1,396 ",1965,1,A2," $299,000 ",9/29/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16034,16, ,A9,5-36 BEACH 68 STREET, ,11692, 1 , -   , 1 ," 2,600 "," 1,386 ",1950,1,A9," $250,000 ",9/1/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16040,46, ,A1,449 BEACH 66 STREET, ,11692, 1 , -   , 1 ," 4,000 "," 1,454 ",1920,1,A1," $235,248 ",4/26/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16042,22, ,A1,446 BEACH 69 STREET, ,11692, 1 , -   , 1 ," 4,000 "," 2,416 ",1910,1,A1, $-   ,12/29/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16048,61, ,A2,558 BEACH 72ND STREET, ,11692, 1 , -   , 1 ," 4,000 ", 812 ,1925,1,A2," $105,000 ",1/4/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16050,5, ,A2,514 BEACH 72, ,11692, 1 , -   , 1 ," 3,000 "," 1,236 ",1901,1,A2," $160,000 ",8/2/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16050,5, ,A2,514 BEACH 72ND STREET, ,11692, 1 , -   , 1 ," 3,000 "," 1,236 ",1901,1,A2," $296,750 ",12/23/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16050,5, ,A2,514 BEACH 72ND STREET, ,11692, 1 , -   , 1 ," 3,000 "," 1,236 ",1901,1,A2," $5,000 ",8/2/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16061,33, ,A1,74-16 HILLMEYER AVENUE, ,11692, 1 , -   , 1 ," 6,000 "," 1,414 ",1920,1,A1," $340,863 ",12/20/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16065,35, ,A9,72-17 BURCHELL AVENUE, ,11692, 1 , -   , 1 ," 2,375 "," 1,116 ",1960,1,A9," $248,100 ",4/11/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16070,33, ,A2,72-14 AMSTEL BOULEVARD, ,11692, 1 , -   , 1 ," 4,000 ", 962 ,1930,1,A2, $-   ,5/30/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,45, ,A2,314 BEACH 74 STREET, ,11692, 1 , -   , 1 ," 3,000 ", 796 ,1920,1,A2," $333,000 ",9/8/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,49, ,A2,322 BEACH 74TH STREET, ,11692, 1 , -   , 1 ," 3,365 "," 1,160 ",1920,1,A2," $225,225 ",10/21/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,49, ,A2,322 BEACH 74TH STREET, ,11692, 1 , -   , 1 ," 3,365 "," 1,160 ",1920,1,A2," $675,590 ",4/1/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16081,97, ,A1,328 BEACH 70TH STREET, ,11692, 1 , -   , 1 ," 3,680 "," 1,391 ",1920,1,A1," $215,000 ",8/26/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15828,46, ,B2,315 BEACH 38TH STREET, ,11691, 2 , -   , 2 ," 4,000 "," 1,432 ",1920,1,B2, $-   ,7/27/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15831,14, ,B9,314 BEACH 42ND STREET, ,11691, 2 , -   , 2 ," 3,066 "," 1,764 ",1940,1,B9," $410,000 ",1/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15836,12, ,B3,316 BEACH 45 STREET, ,11691, 2 , -   , 2 ," 2,269 "," 2,340 ",1920,1,B3," $301,500 ",5/12/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,19, ,B9,350 BEACH 48 STREET, ,11691, 2 , -   , 2 ," 3,019 "," 1,323 ",1955,1,B9," $180,000 ",4/25/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,25, ,B9,366 BEACH 48TH STREET, ,11691, 2 , -   , 2 ," 3,067 "," 1,386 ",1955,1,B9," $167,000 ",11/9/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,44, ,B1,351 BEACH 47TH STREET, ,11691, 2 , -   , 2 ," 3,804 "," 2,200 ",2005,1,B1," $415,000 ",10/17/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15853,97, ,B2,219 BEACH 44TH ST, ,11691, 2 , -   , 2 ," 2,551 "," 1,944 ",2004,1,B2, $-   ,10/20/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15902,3, ,B2,160 BEACH 60 STREET, ,11692, 2 , -   , 2 ," 2,850 "," 2,386 ",1960,1,B2," $300,000 ",8/4/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15903,3, ,B1,172 BEACH 61ST  STREET, ,11692, 2 , -   , 2 ," 3,135 "," 2,052 ",2000,1,B1," $440,000 ",3/18/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15903,14, ,B1,190 BEACH 61 STREET, ,11692, 2 , -   , 2 ," 4,170 "," 2,052 ",2000,1,B1, $-   ,4/8/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,2, ,B2,62-08 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 6,049 "," 3,547 ",2014,1,B2," $1,221,900 ",2/26/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,6, ,B2,63-10 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,542 "," 3,084 ",2014,1,B2," $941,881 ",4/12/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,8, ,B2,63-16 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,542 "," 3,084 ",2014,1,B2," $967,337 ",2/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,27, ,B2,63-09 OCEAN AVENUE SOUTH, ,11692, 2 , -   , 2 ," 2,154 "," 3,306 ",2014,1,B2, $-   ,2/2/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,32, ,B2,62-03 OCEAN AVENUE SOUTH, ,11692, 2 , -   , 2 ," 4,931 "," 3,547 ",2014,1,B2," $992,793 ",6/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,35, ,B2,6206 OCEAN AVENUE SOUTH, ,11692, 2 , -   , 2 ," 6,200 "," 3,357 ",2014,1,B2," $992,793 ",7/7/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,36, ,B2,62-10 OCEAN AVENUE SOUTH, ,11692, 2 , -   , 2 ," 4,567 "," 2,664 ",2014,1,B2," $911,333 ",5/6/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,39, ,B2,62-14 OCEAN AVENUE SOUTH, ,11692, 2 , -   , 2 ," 4,161 "," 2,958 ",2014,1,B2," $773,870 ",2/19/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,42, ,B2,140 COMPASS PLACE, ,11692, 2 , -   , 2 ," 4,085 "," 2,626 ",2014,1,B2," $901,151 ",6/7/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,43, ,B2,129 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,590 "," 2,626 ",2014,1,B2," $768,778 ",3/14/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,45, ,B2,125 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,440 "," 3,306 ",2014,1,B2," $773,870 ",6/7/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,48, ,B2,115 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 6,248 "," 3,357 ",2014,1,B2," $992,793 ",8/18/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,50, ,B2,63-02 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,542 "," 2,958 ",2014,1,B2," $784,052 ",3/21/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,53, ,B2,63-08 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,661 "," 2,515 ",2014,1,B2," $712,775 ",8/26/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,54, ,B2,63-12 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,661 "," 2,515 ",2014,1,B2," $743,322 ",2/15/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,56, ,B2,63-16 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,421 "," 2,958 ",2014,1,B2," $768,778 ",4/19/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,58, ,B2,158 SEA GRASS LANE, ,11692, 2 , -   , 2 ," 3,226 "," 2,515 ",2014,1,B2," $712,775 ",3/24/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,76, ,B2,195 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $609,931 ",5/17/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,77, ,B2,191 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $707,683 ",6/10/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,78, ,B2,189 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $672,045 ",5/12/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,79, ,B2,185 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $682,227 ",3/11/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,81, ,B2,181 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 2,236 "," 3,306 ",2014,1,B2," $733,140 ",6/15/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,83, ,B2,177 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $631,315 ",4/26/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,84, ,B2,173 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,211 "," 2,626 ",2014,1,B2," $650,254 ",5/27/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,87, ,B2,163 BEACH 62 STREET, ,11692, 2 , -   , 2 ," 3,942 "," 2,626 ",2014,1,B2," $651,680 ",3/30/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,114, ,B2,192 WHITE SANDS WAY, ,11692, 2 , -   , 2 ," 3,531 "," 2,958 ",2011,1,B2," $738,231 ",4/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,115, ,B2,191 SEA GRASS LANE, ,11692, 2 , -   , 2 ," 4,142 "," 2,958 ",2012,1,B2," $738,231 ",6/6/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,139, ,B2,6512 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,987 "," 2,258 ",2012,1,B2," $660,000 ",8/9/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,169, ,B2,65-07 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 3,045 "," 2,258 ",2012,1,B2, $-   ,3/27/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,220, ,B2,6615 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 3,367 "," 2,974 ",2013,1,B2," $765,000 ",8/17/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,221, ,B2,66-13 OCEAN AVENUE NORTH, ,11692, 2 , -   , 2 ," 2,375 "," 2,938 ",2013,1,B2," $663,000 ",2/17/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,259, ,B2,66-14 SEASPRAY AVENUE, ,11692, 2 , -   , 2 ," 2,143 "," 2,908 ",2011,1,B2," $785,000 ",6/3/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,259, ,B2,6614 SEASPRAY AVENUE, ,11692, 2 , -   , 2 ," 2,143 "," 2,908 ",2011,1,B2, $-   ,1/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,261, ,B2,66-18 SEASPRAY AVENUE, ,11692, 2 , -   , 2 ," 3,074 "," 2,908 ",2011,1,B2, $-   ,5/4/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,281, ,B2,65-11 SEASPRAY AVENUE, ,11692, 2 , -   , 2 ," 3,401 "," 2,515 ",2012,1,B2," $789,143 ",4/14/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,299, ,B2,6514 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,542 "," 3,084 ",2014,1,B2," $1,069,162 ",7/8/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,301, ,B2,6520 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,517 "," 3,084 ",2014,1,B2," $1,013,158 ",3/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,302, ,B2,65-22 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,589 "," 3,080 ",2014,1,B2," $992,793 ",3/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,303, ,B2,66-02 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,588 "," 3,084 ",2014,1,B2," $1,013,158 ",4/22/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,304, ,B2,66-04 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,626 "," 3,084 ",2014,1,B2," $992,793 ",4/29/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,305, ,B2,66-08 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 3,550 "," 3,084 ",2014,1,B2," $1,120,075 ",5/9/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,308, ,B2,66-16 BEACH FRONT ROAD, ,11692, 2 , -   , 2 ," 4,248 "," 3,084 ",2014,1,B2," $1,030,000 ",8/5/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15907,89, ,B3,316 BEACH 63RD STREET, ,11692, 2 , -   , 2 ," 3,780 "," 1,632 ",1950,1,B3," $410,000 ",5/16/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15908,18, ,B3,63-03 BEACH CHANNEL DRIVE, ,11692, 2 , -   , 2 ," 4,000 "," 1,182 ",1945,1,B3, $-   ,11/8/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15913,74, ,B2,333 BEACH 66TH  STREET, ,11692, 2 , -   , 2 ," 4,000 "," 1,904 ",1920,1,B2," $318,500 ",12/30/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15933,53, ,B9,147 BEACH 61ST STREET, ,11692, 2 , -   , 2 ," 2,304 "," 1,842 ",1970,1,B9," $440,000 ",9/26/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15952,9, ,B3,418 BEACH 36 STREET, ,11691, 2 , -   , 2 ," 4,600 "," 1,832 ",1940,1,B3," $435,000 ",1/27/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15954,12, ,B2,422 BEACH 38TH STREET, ,11691, 2 , -   , 2 ," 3,000 "," 1,728 ",1920,1,B2, $-   ,8/16/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,64, ,B2,557 BEACH 43RD ST, ,11691, 2 , -   , 2 ," 3,305 "," 2,312 ",2005,1,B2, $-   ,7/28/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,80, ,B2,531 BEACH 43 STREET, ,11691, 2 , -   , 2 ," 3,952 "," 2,464 ",2004,1,B2, $100 ,10/24/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15965,9, ,B2,412 BEACH 44 STREET, ,11691, 2 , -   , 2 ," 2,602 "," 1,254 ",1899,1,B2," $175,500 ",11/16/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15966,54, ,B1,491 BEACH 44 STREET, ,11691, 2 , -   , 2 ," 2,558 "," 2,000 ",2005,1,B1," $471,450 ",1/23/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    , ,16005,40, , ,62-31 DE COSTA AVENUE, ,11692, -   , -   , -   , -   , -   ,0,1,B2," $460,850 ",8/12/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    , ,16005,45, , ,62-33 DE COSTA AVENUE, ,11692, -   , -   , -   , -   , -   ,0,1,B2," $481,500 ",9/2/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16007,1, ,B2,62-34 BURCHELL ROAD, ,11692, 2 , -   , 2 ," 3,254 "," 1,980 ",2005,1,B2," $275,000 ",11/28/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16007,25, ,B2,62-07 ALMEDA AVENUE, ,11692, 2 , -   , 2 ," 4,000 "," 2,106 ",2013,1,B2, $-   ,3/23/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16008,7, ,B2,6226 ELIZABETH ROAD, ,11692, 2 , -   , 2 ," 3,179 "," 2,000 ",2003,1,B2, $-   ,4/18/2016
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16024,39, ,B2,623 BEACH 64 STREET, ,11692, 2 , -   , 2 ," 3,400 "," 2,068 ",1994,1,B2," $450,000 ",1/18/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16025,21, ,B1,6505A BAYFIELD AVE, ,11692, 2 , -   , 2 ," 2,800 "," 2,400 ",2003,1,B1, $-   ,5/3/2016
